"","Longitude","Latitude","cluster.admix"
"594.bam",-80.34782,25.10867,2
"607.bam",-80.30583,25.10957,1
"610.bam",-80.31858,25.13801,3
"611.bam",-80.31858,25.13801,3
"612.bam",-80.31858,25.13801,3
"613.bam",-80.31858,25.13801,3
"614.bam",-80.31858,25.13801,3
"61.bam",-82.86051,24.64145,2
"625.bam",-80.25759,25.14278,3
"627.bam",-80.25759,25.14278,3
"628.bam",-80.25759,25.14278,3
"629.bam",-80.25759,25.14278,3
"62.bam",-82.86051,24.64145,1
"636.bam",-80.26177,25.14314,1
"637.bam",-80.26177,25.14314,3
"638.bam",-80.26177,25.14314,2
"639.bam",-80.26177,25.14314,1
"63.bam",-82.86051,24.64145,1
"640.bam",-80.21662,25.21649,1
"641.bam",-80.21662,25.21649,3
"643.bam",-80.21662,25.21649,2
"644.bam",-80.21662,25.21649,1
"64.bam",-82.86051,24.64145,1
"655.bam",-80.21115,25.2143,3
"656.bam",-80.21115,25.2143,3
"657.bam",-80.21115,25.2143,3
"658.bam",-80.21115,25.2143,3
"659.bam",-80.21115,25.2143,3
"661.bam",-80.1785,25.27644,3
"662.bam",-80.1785,25.27644,3
"664.bam",-80.1785,25.27644,1
"665.bam",-80.1785,25.27644,3
"66.bam",-82.86051,24.64145,1
"671.bam",-80.23137,25.28802,2
"672.bam",-80.23137,25.28802,1
"673.bam",-80.23137,25.28802,3
"674.bam",-80.23137,25.28802,2
"675.bam",-80.23137,25.28802,2
"67.bam",-82.80322,24.63159,1
"681.bam",-80.281,25.212001,1
"682.bam",-80.281,25.212001,1
"683.bam",-80.281,25.212001,2
"685.bam",-80.281,25.212001,1
"696.bam",-80.17372,25.33511,1
"697.bam",-80.17372,25.33511,1
"698.bam",-80.17372,25.33511,2
"699.bam",-80.17372,25.33511,1
"700.bam",-80.17372,25.33511,3
"706.bam",-80.13425,25.39609,3
"707.bam",-80.13425,25.39609,3
"708.bam",-80.13425,25.39609,1
"709.bam",-80.13425,25.39609,3
"710.bam",-80.13425,25.39609,3
"716.bam",-80.1332,25.40838,1
"717.bam",-80.1332,25.40838,1
"718.bam",-80.1332,25.40838,1
"719.bam",-80.1332,25.40838,2
"71.bam",-82.86051,24.64145,1
"720.bam",-80.1332,25.40838,2
"726.bam",-80.15347,25.48217,1
"727.bam",-80.15347,25.48217,1
"728.bam",-80.15347,25.48217,1
"729.bam",-80.15347,25.48217,1
"730.bam",-80.15347,25.48217,1
"746.bam",-80.1177,25.4805,1
"747.bam",-80.1177,25.4805,2
"748.bam",-80.1177,25.4805,1
"749.bam",-80.1177,25.4805,1
"74.bam",-82.80322,24.63159,1
"750.bam",-80.1177,25.4805,2
"751.bam",-80.10108,25.58826,1
"752.bam",-80.10108,25.58826,1
"753.bam",-80.10108,25.58826,1
"754.bam",-80.10108,25.58826,2
"755.bam",-80.10108,25.58826,2
"75.bam",-82.80322,24.63159,2
"76.bam",-82.80322,24.63159,1
"77.bam",-82.80322,24.63159,1
"78.bam",-82.80322,24.63159,1
"86.bam",-82.44994,24.66314,1
"88.bam",-82.44994,24.66314,1
"89.bam",-82.44994,24.66314,1
"96.bam",-82.44994,24.66314,1
"98.bam",-82.44994,24.66314,3
