"pop" "Latitude" "Longitude" "ind"
"100" "Elkhorn Reef (Old Rhodes 2)" 25.33511 -80.17372 "700.bam"
"101" "Elkhorn Reef (Old Rhodes 2)" 25.33511 -80.17372 "697.bam"
"102" "Elkhorn Reef (Old Rhodes 2)" 25.33511 -80.17372 "696.bam"
"103" "Fowey Rocks" 25.58826 -80.10108 "752.bam"
"104" "Fowey Rocks" 25.58826 -80.10108 "753.bam"
"105" "Fowey Rocks" 25.58826 -80.10108 "754.bam"
"106" "Fowey Rocks" 25.58826 -80.10108 "755.bam"
"107" "Fowey Rocks" 25.58826 -80.10108 "751.bam"
"108" "Grecian Rocks" 25.10957 -80.30583 "607.bam"
"109" "Hens and Chickens" 24.93435 -80.55316 "496.bam"
"110" "Hens and Chickens" 24.93435 -80.55316 "497.bam"
"111" "Hens and Chickens" 24.93435 -80.55316 "495.bam"
"112" "Hens and Chickens" 24.93435 -80.55316 "499.bam"
"113" "Higdons Reef" 25.13801 -80.31858 "610.bam"
"114" "Higdons Reef" 25.13801 -80.31858 "614.bam"
"115" "Higdons Reef" 25.13801 -80.31858 "612.bam"
"116" "Higdons Reef" 25.13801 -80.31858 "613.bam"
"117" "Higdons Reef" 25.13801 -80.31858 "611.bam"
"118" "Hospital Key" 24.64145 -82.86051 "61.bam"
"119" "Hospital Key" 24.64145 -82.86051 "66.bam"
"120" "Hospital Key" 24.64145 -82.86051 "63.bam"
"121" "Hospital Key" 24.64145 -82.86051 "62.bam"
"122" "Hospital Key" 24.64145 -82.86051 "64.bam"
"123" "Hospital Key" 24.64145 -82.86051 "71.bam"
"124" "Key West Inshore" 24.53626 -81.77518 "191.bam"
"125" "Key West Inshore" 24.53626 -81.77518 "198.bam"
"126" "Looe Key Deep" 24.54446 -81.40741 "381.bam"
"127" "Looe Key Deep" 24.54446 -81.40741 "383.bam"
"128" "Looe Key Deep" 24.54446 -81.40741 "356.bam"
"129" "Looe Key Deep" 24.54446 -81.40741 "358.bam"
"130" "Looe Key Shallow" 24.5454 -81.40776 "371.bam"
"131" "Looe Key Shallow" 24.5454 -81.40776 "376.bam"
